pos_id,symbol,side,regime,side_mode,stop_r,tgt_r,entry_date,exit_date,exit_reason,entry_price,exit_price,rmult_used,risk_amt,gate_mult,score,pnl,equity_before,equity_after,marked_to,model_run
60,SRGHFL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,266.3999938964844,253.40758219215195,-1.0,5000.0,1.0,0.3154823780059814,-5000.0,843565.7944165264,838565.7944165264,2026-03-09,2026-03-10
62,SGMART,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TARGET,457.0,427.64294789580754,1.5000000000000044,5000.0,1.0,0.2188998162746429,7500.000000000022,838565.7944165264,846065.7944165264,2026-03-09,2026-03-10
63,ONGC,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,OPEN_STOP,272.5,289.0,-1.7664657901660237,5000.0,1.0,0.1047050654888153,-8832.328950830119,846065.7944165264,837233.4654656963,2026-03-09,2026-03-10
64,UNITEDTEA,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TIME,495.0,498.5,-0.15800533621979906,5000.0,1.0,0.1001256704330444,-790.0266810989954,837233.4654656963,836443.4387845973,2026-03-09,2026-03-10
65,GEMAROMA,short,bear,both,1.1,1.65,2026-03-09,2026-03-09,TIME,197.1999969482422,188.33999633789062,0.8609371174373439,5000.0,1.0,0.0916908681392669,4304.685587186719,836443.4387845973,840748.124371784,2026-03-09,2026-03-10
66,VHL,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,3153.5,3062.39990234375,-0.7703651583616766,5000.0,1.0,0.0844284892082214,-3851.825791808383,840748.124371784,836896.2985799756,2026-03-09,2026-03-10
67,AMJLAND,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,STOP,39.79999923706055,37.19959305849062,-1.0,5000.0,1.0,0.0674946904182434,-5000.0,836896.2985799756,831896.2985799756,2026-03-09,2026-03-10
68,BDL,long,bull,both,1.1,1.65,2026-03-09,2026-03-09,STOP,1359.9000244140625,1305.7796069812684,-1.0,5000.0,1.0,0.0312486886978149,-5000.0,831896.2985799756,826896.2985799756,2026-03-09,2026-03-10
69,ASTRON,long,bull,both,1.1,3.3,2026-03-09,2026-03-09,TIME,4.090000152587891,3.950000047683716,-0.5111453095648286,5000.0,1.0,0.0036407113075256,-2555.726547824143,826896.2985799756,824340.5720321515,2026-03-09,2026-03-10
70,DCXINDIA,long,bull,both,1.1,2.2,2026-03-09,2026-03-09,STOP,196.5,185.26719746085075,-1.0,5000.0,1.0,-0.0257166028022766,-5000.0,824340.5720321515,819340.5720321515,2026-03-09,2026-03-10
